BUDGET,POPULARITY,REVENUE,VOTE_AVERAGE,VOTE_COUNT,TAGLINE,release_year,release_month,New_Budget,New_Revenue,New_Vote_Avg
48000000,26.965,14700000,7.5,1572,Just add chaos laughter awkwardness mistakes love,2018,11,53064000,16250849,8
11000000,30.756,53939297,7.5,3957,Fitting in is overrated,2017,8,12419000,60897466,8
5500000,18.302,44235023,5.8,2016,No way out. No way up. No chance in hell.,2017,5,6209500,49941340,6
45000000,15.934,178051587,6.6,958,Not for honor. Not for country. For his wife and child.,1992,4,89599500,354518514,7
175000000,26.035,302469017,5.7,3360,"When all else fails, they don't.",2009,4,220307499,380778245,6
100000000,23.332,193772504,7.3,4539,America was born in the streets.,2002,12,153110000,296685080,7
7000000,21.031,17949758,6.2,902,You'll never get out alive.,2003,11,10549700,27052080,6
10000000,18.038,4366460,6.7,1411,Life: Some disassembly required.,2015,10,11456000,5002216,7
20000000,27.179,23875127,8.4,7928,Some Legacies Must End.,1998,10,33782000,40327477,8
63000000,17.528,296655431,6.0,2162,He's still evil... He's still deadly... and he's still surrounded by frickin' idiots!,2002,7,96459300,454209130,6
14000000,29.529,1755212,7.7,1437,You never forget your first love.,2010,6,17684800,2217183,8
170000000,23.775,400062763,6.4,5217,The Game Has Changed.,2010,10,214744000,505359282,6
40000000,27.673,97138686,6.3,2074,New Decade. New Rules.,2011,11,49711999,120723958,6
105000000,24.775,133718711,5.8,1615,The only law that matters is gravity,2015,3,120288000,153188155,6
51000000,28.766,149270999,6.5,2551,From gentle to mental.,2000,6,83012700,242968405,6
110000000,27.866,333011068,6.3,1995,Yesterday is a memory. Today is history. Tomorrow is in the hands of one man.,1997,11,190146000,575642932,6
15000000,28.667,65048678,6.5,2764,When days turn to weeks... the horror returns.,2007,4,20169000,87464452,6
19000000,23.016,70067909,6.5,2312,Once upon a time... can happen any time.,2004,10,28000300,103259077,6
42000000,31.318,107670357,6.2,3101,New Crime. Same Tools.,2014,11,48854400,125242159,6
43000000,20.286,35164920,6.1,840,Discover what made her the girl,2018,10,47536500,38874819,6
14000000,21.353,159157447,7.9,2584,Some legends will never be forgotten. Some wrongs can never be forgiven.,1992,7,27875400,316898392,8
6000000,25.152,6979093,7.8,8644,You can never go too far,2001,10,9446400,10987884,8
11500000,17.505,1402307,5.5,266,Under their own command,2012,4,13854050,1689359,6
40000000,23.171,33562069,6.4,1581,They got this,2018,2,44220000,37102867,6
20000000,24.399,136267476,6.2,3745,Who says you're only young once?,2009,11,25178000,171547125,6
13000000,32.628,68572378,6.7,2134,There are 188 million 911 calls a year. This one made it personal.,2013,3,15343899,80935977,7
24000000,25.693,155721132,6.7,2239,It ain't over 'til it's over.,2006,12,33316800,216172075,7
150000000,24.29,413106170,6.1,5038,When the lights go off the battle is on.,2009,5,188835000,520059357,6
70000000,23.737,218613188,7.1,2590,The Power Is Real.,1998,12,118237000,369259535,7
145000000,32.535,401128639,5.4,3175,A New Evil Awakens.,2008,1,189558500,524395469,5
60000000,22.147,240797623,7.1,5002,The Untold Story Behind the Miracle on the Hudson.,2016,7,68598000,275303922,7
30000000,24.25,44516999,7.0,4670,Seeing is believing,2017,9,33870000,50259691,7
50000000,18.793,242786137,6.2,2175,Choose your Daddy,2015,12,57280000,278135798,6
130000000,22.134,243843127,5.2,5100,"Danger is real, fear is a choice",2013,5,153439000,287808042,5
28000000,20.424,16374328,5.8,1469,Bloody lovely.,2016,4,32012400,18720769,6
20000000,18.662,86865564,3.7,958,We know it's big. We measured.,2007,1,26892000,116799437,4
60000000,19.469,9420546,6.1,180,A new breed of rock star,2016,8,68598000,10770510,6
85000000,17.446,197309027,6.1,1833,All Fur One. One Fur All.,2006,9,117997000,273904391,6
20000000,14.356,1969193,6.4,676,Loving husband. Devoted father. Ruthless killer.,2012,1,24094000,2372286,6
36000000,19.405,189712432,5.8,1397,A LITTLE ADVENTURE GOES A LAWN WAY.,2011,1,44740800,235774610,6
6500000,16.853,1100000,7.3,1457,They haven’t finished being alive.,2008,3,8497450,1438030,7
110000000,21.929,215294342,7.1,2514,Some things are worth fighting for.,2000,6,179047000,350434600,7
70000000,27.822,160112671,6.3,3032,Vengeance Returns,2012,1,84329000,192887734,6
30000000,26.59,446486224,7.9,12436,Here's to the fools who dream.,2016,11,34299000,510467699,8
135000000,23.727,282570682,6.1,2265,SLO NO MO,2013,11,159340500,333518175,6
15000000,25.764,123726688,7.9,8035,His Mind Changed Our World. Her Love Changed His.,2014,11,17448000,143918883,8
10000000,27.715,64188367,5.9,2797,Every child needs to feel loved.,2016,1,11433000,73386559,6
25000000,23.239,441286195,7.2,4231,She makes dinner. She does windows. She reads bedtime stories. She's a blessing... in disguise.,1993,11,48315000,852829700,7
105000000,21.168,266000000,5.4,2076,The legend. The battle. The first hero.,2008,2,137266500,347741800,5
40000000,23.965,95149435,6.6,2376,It can take a lifetime to find true love; she's got 30 days!,2004,6,58948000,140221722,7
9000000,22.923,81705746,6.0,1763,"When you talk to the other side, you never know who will be listening.",2016,10,10289700,93414179,6
42000000,27.855,201585328,6.9,7779,They thought the streets were mean. Then they went back to high school.,2012,3,50597400,242849844,7
35000000,24.403,155545279,6.5,1465,"She has the best of both worlds... now, she has to choose just one",2009,10,44061500,195815951,6
50000000,22.504,188441614,6.9,6033,They're not 21 anymore,2014,5,58160000,219195285,7
35000000,21.846,69823199,6.6,3111,They proved the Vegas Blackjack System was beatable...by beating the hell out of it.,2008,3,45755500,91279868,7
140000000,29.144,456758981,7.5,4596,"In the face of an enemy, in the heart of one man, lies the soul of a warrior.",2003,9,210994000,688381460,8
30000000,16.942,219076518,6.2,2760,Save the due date.,2007,1,40338000,294570286,6
7000000,24.729,34266564,7.3,5886,I think my mask of sanity is about to slip.,2000,4,11393900,55775686,7
25000000,20.676,71255003,5.3,630,Take a Ride on the Wild Side.,2004,6,36842500,105008497,5
30000000,26.429,174600318,8.0,10204,A murder case of Madam D. With enormous wealth and the most outrageous events surrounding her sudden death!,2014,2,34896000,203095089,8
40000000,24.936,65754228,6.7,842,She Just Needed A Month To Change His Life For Ever.,2001,2,62976000,103523456,7
50000000,18.233,177371441,6.7,2392,One of them is lying. So is the other.,2003,7,75355000,267316498,7
20000000,19.669,54956140,6.2,1291,Fear Thy Neighbor,2010,2,25264000,69420596,6
105000000,22.064,121214377,6.9,3043,The only good bug is a dead bug.,1997,7,181503000,209531172,7
32000000,18.172,58500000,5.6,424,Ready. Set. Panic.,2016,7,36585600,66883050,6
15000000,23.335,32556119,6.1,1015,A spy is never out of the game.,2014,8,17448000,37869277,6
28000000,19.611,58795814,5.4,771,Save the world. Get the girl. Pass math.,2003,3,42198800,88611171,5
70000000,15.16,171844840,5.5,1316,It may be paradise... but it's no vacation.,2009,9,88123000,216335469,6
90000000,22.109,162839667,6.5,1790,Their World Is Closer Than You Think,2008,2,117656999,212880296,6
46000000,27.304,341631208,5.2,1634,Yabba-Dabba-Doo!,1994,5,86342000,641241777,5
10000000,21.444,2137751,5.9,92,In foreign skies they fought for their country,2018,7,11055000,2363283,6
22000000,21.648,92542418,7.5,1501,love is all you need,2001,12,34636800,145698782,8
25000000,27.195,46836394,8.4,8013,Three Decades of Life in the Mafia.,1990,12,54690000,102459295,8
70000000,24.353,368100420,6.5,4085,The cure for the common man.,2005,11,100464000,528297722,6
13000000,24.72,54837234,7.1,1314,Love Thy Neighbor,2014,9,15121600,63786670,7
15000000,24.95,46189568,7.9,7579,It’s good knowin’ he’s out there. The Dude. Takin’ ‘er easy for all us sinners.,1998,6,25336500,78018799,8
25000000,17.405,39171130,5.8,950,The only way out is all in,2014,12,29080000,45563858,6
35000000,20.654,74558115,6.7,1873,Only the legend will survive.,2001,8,55104000,117384296,7
125000000,28.35,362637473,5.6,4705,The end of the world is just the beginning.,2014,7,145400000,421819908,6
35000000,18.043,94728529,5.8,1113,His big day is her big problem.,2001,1,55104000,149140596,6
32000000,27.492,79082515,5.2,1966,Ready for more. Much more.,1997,12,55315200,136702035,5
18000000,24.392,122195920,5.7,1279,Nothing In This World Has Prepared You For This.,1995,8,32925600,223520776,6
72000000,27.837,408247917,6.6,3717,It’s not like they didn’t warn us.,2002,2,110239200,625068385,7
35000000,24.237,209838559,6.5,4620,Ever wish your boss was dead?,2011,8,43498000,260787361,6
28000000,30.385,96188903,7.1,8871,Shut up. Kick ass.,2010,3,35369600,121505822,7
17000000,21.766,127730736,6.1,2595,What did they see?,2012,3,20479900,153877217,6
30000000,22.248,152159461,7.9,9885,The bride is back for the final cut.,2004,4,44211000,224237397,8
17000000,21.87,43202283,6.3,2208,Love is never ugly.,2011,1,21127600,53691797,6
32000000,21.069,27635305,6.9,2399,In a moment the world changed forever.,2009,11,40284800,34790085,7
17000000,27.019,97542952,6.4,3184,The most terrifying film you will ever experience.,2013,5,20065100,115129946,6
35000000,23.992,92158961,6.4,2601,Every war has a beginning.,2009,1,44061500,116018916,6
14000000,20.323,11808880,5.9,1168,"If the one you love was lying to you, how far would you go to find out the truth?",2009,3,17624600,14866199,6
135000000,24.257,361832400,6.2,1871,As the countdown begins for the new millennium there is still one number you can always count on.,1999,11,224545500,601835830,6
100000000,21.859,100086793,6.5,1228,There's one in all of us.,2009,10,125889999,125999263,6
55000000,31.312,168167691,7.6,4980,Seven names. Seven strangers. One secret.,2008,12,71901500,219845622,8
65000000,21.003,84785914,7.5,6469,There's more than one way to lose your life to a killer.,2007,2,87399000,114003139,8
15000000,25.248,107217396,6.5,3959,"He's the best there is! (Actually, he's the only one there is.)",1994,4,28155000,201247052,6
25000000,24.344,411006740,6.6,1844,Never let her out of your sight. Never let your guard down. Never fall in love.,1992,11,49777500,818355520,7
45000000,27.598,198087212,7.3,4563,Nothing is more powerful than the human spirit.,2012,9,54211500,238635664,7
38000000,21.451,118034273,6.3,3085,Of all the guys his daughter could have chosen...,2016,12,43445400,134948584,6
14000000,21.098,22852638,6.3,810,Welcome to paradise. Enter at your own risk.,2009,8,17624600,28769185,6
5000000,22.906,45172994,5.1,1334,There's something evil hiding in the woods.,2016,9,5716500,51646284,5
35000000,15.339,27333835,6.9,383,It is an ideal for which I am prepared to die.,2013,6,41310500,32262125,7
92000000,26.834,264105545,5.8,2957,Get Some Action,2000,2,149748400,429884595,6
20000000,20.59,46069568,6.0,520,Witness the manhunt that changed the course of human history,2016,2,22866000,52671337,6
30000000,22.392,150847207,7.4,3599,Never never never surrender,2017,11,33870000,170306496,7
125000000,28.329,198802074,5.9,4096,What Is Real?,2012,2,150587500,239496858,6
70000000,18.072,18662027,5.8,119,There's trouble in OZ...,2014,8,81424000,21707669,6
110000000,25.519,563749323,5.7,2702,Smurf Happens.,2011,7,136708000,700627658,6
44000000,20.323,155760117,7.7,10292,No one comes up here without a damn good reason.,2015,12,50406400,178438790,8
70000000,24.559,255000211,6.4,1440,The height of adventure.,1993,5,135282000,492813407,6
50000000,30.957,83719388,7.3,2896,Defend your Honor.,2014,8,58160000,97382392,7
28000000,25.169,75100000,6.7,1964,Based on  a true story. We’re not kidding.,2018,5,30953999,83023050,7
25000000,16.805,56489558,6.1,552,Mortal enemies make dangerous friends.,2003,2,37677500,85135412,6
10000000,16.558,52882018,5.8,1454,"Be careful, children at play.",2015,8,11456000,60581639,6
15000000,22.753,59389433,7.3,2822,Twenty years. Two people.,2011,2,18642000,73809187,7
60000000,16.561,127766650,5.7,1097,He waited all his life to get married. Too bad he didn't wait another week.,2007,5,80676000,171795037,6
80000000,20.817,52099090,6.5,1133,"32 survivors, room for 12.",2016,1,91464000,59564889,6
4000000,23.008,30332385,7.5,5775,A romantic comedy. With zombies.,2004,9,5894800,44700835,8
60795000,15.807,73090611,5.7,537,How Far Would You Go To Keep A Secret?,2007,12,81744957,98277635,6
29000000,20.556,50041732,6.2,642,The messenger must be silenced.,1999,10,48235700,83234412,6
13000000,16.316,6903033,6.1,1049,They left him no choice..,2016,11,14862900,7892237,6
185000000,22.0,786636033,5.9,5616,The adventure continues . . .,2008,5,241850499,1028369285,6
130000000,30.759,276572938,6.1,4234,There Was Never Just One,2012,8,156611000,333187418,6
10500000,20.796,23000000,5.8,330,"No whip, no gun... All fun!",2012,10,12649350,27708100,6
112000000,16.994,237382724,5.1,1652,Something big is going down.,2010,12,141478400,299861856,5
5000000,20.553,1319566,4.3,240,They've come to claim what's theirs,2017,2,5645000,1489790,4
50000000,21.242,105197635,6.0,1104,Touched by death. Changed by life.,2010,10,63160000,132885652,6
110000000,30.664,574480841,6.5,7389,Where History Comes To Life,2006,10,152702000,797494303,6
85000000,25.539,208076205,6.4,2466,No one is safe,2012,9,102399500,250669404,6
37000000,24.878,165335153,6.9,3459,She rocks. She rules. She reigns.,2001,3,58252800,260303664,7
38000000,22.457,107597242,5.1,1126,Vegas has a new high roller.,2015,4,43532800,123263400,5
110000000,26.235,103951461,6.0,1381,Bust a Moo,2004,2,162107000,153193268,6
45000000,22.085,101702060,6.0,3405,Same Planet. Different World.,2008,10,58828499,132955103,6
30000000,25.285,40346186,6.4,1589,She has the code. He is the key.,2012,4,36141000,48605050,6
17000000,27.735,115400000,7.3,5119,Get pitch slapped.,2012,9,20479900,139022380,7
11000000,17.143,44998252,7.4,3159,Nothing is harder to track than the truth.,2017,3,12419000,50803026,7
21000000,22.99,236412453,7.1,9127,Watch For The Signs,2012,8,25298700,284806082,7
20000000,23.436,101434304,7.3,1641,So many gangsters...so little time.,2004,10,29474000,149483733,7
100000000,19.54,117831631,5.4,2485,No warning. No escape.,2014,2,116320000,137061753,5
18000000,19.934,141774679,6.6,2406,Don't judge a book by its hair color!,2001,7,28339200,223210054,7
130000000,24.487,371940071,6.8,3900,"This year, discover how far adventure will take you.",2011,10,161564000,462247120,7
13000000,22.932,35401758,8.1,6829,Love knows no boundaries,2015,10,14892800,40556253,8
102000000,25.423,358372926,7.3,5810,The system is perfect until it comes after you.,2002,6,156172200,548704786,7
5000000,19.506,51749995,5.8,1206,Get Home Safe,2019,5,5396000,55848594,6
30000000,17.523,122650962,6.3,1067,"Come out, come out, whatever you are.",2005,1,43056000,176028660,6
40000000,18.772,91627228,5.4,1693,Not all souls can be saved.,2011,7,49711999,113874318,5
4000000,25.718,119723856,7.4,4748,Everyone wants to be found.,2003,9,6028400,180435823,7
150000000,27.029,318502923,4.7,2729,"Four nations, one destiny",2010,6,189480000,402332892,5
130000000,21.178,459242249,6.3,3669,The Greatest Adventure History Has Ever Revealed,2007,12,174798000,617497128,6
50000000,25.499,174804407,6.7,3120,Nobody Runs Forever,2018,12,55275000,193246271,7
57000000,24.723,159055768,6.6,2274,The Future isn't big enough for the both of them.,1993,8,110158200,307391177,7
50000000,27.249,111476513,6.5,2852,"My God. Brother, what have you done?",2006,12,69410000,154751695,6
32000000,20.909,147332697,7.3,5748,Make Every Second Count,2011,3,39769600,183105075,7
10000000,20.516,19551067,6.3,1001,Have a blast.,2009,10,12589000,24612838,6
40000000,16.014,22044277,6.1,930,He only has 1000 words left to discover what matters the most.,2012,7,48188000,26556740,6
30000000,19.16,57076286,5.4,1155,In the face of fear ordinary people can do the extraordinary,2018,2,33164999,63097834,5
40000000,23.845,46471023,7.7,3169,Dig the life fantastic!,2009,10,50356000,58502370,8
60000000,23.442,187436818,7.9,4293,A Los Angeles Crime Saga,1995,12,109752000,342859427,8
18000000,20.701,74189677,6.3,621,Don't hunt what you can't kill.,1993,8,34786800,143378969,6
16000000,21.775,72282227,6.2,763,Her talent was real. Her résumé was not.,2018,11,17688000,79908001,6
28000000,21.709,133346506,7.3,6111,This is a true story.,2015,11,32076800,152761757,7
23000000,21.555,47351251,7.9,10228,A Spike Jonze Love Story,2013,12,27146899,55888681,8
75000000,24.45,288500217,7.3,5313,They should have left him alone.,2004,7,110527500,425162769,7
18000000,17.998,123306987,6.7,1146,He's gonna party like it's 1985.,1998,2,30403800,208277831,7
40000000,26.7,60462347,6.4,862,"Fear not the weapon, but the hand that wields it.",2009,9,50356000,76116048,6
10000000,24.51,1785977,6.1,1668,Your Darkest Dream Awaits You,2017,11,11290000,2016368,6
17000000,23.689,59489799,7.2,1257,"When your Dad's an undertaker, your Mom's in heaven, and your Grandma's got a screw loose...it's good to have a friend who understands you. Even if he is a boy.",1991,11,35286900,123482975,7
85000000,20.228,187134117,6.0,1560,"They're as straight as can be, but don't tell anyone.",2007,12,114291000,251620533,6
11000000,29.232,48572000,6.8,2059,The monster movie that breaks new ground.,1990,1,24063600,106256107,7
38000000,19.218,197011982,5.0,1479,3rd Mission. 3rd Dimension.,2003,7,57269800,296916758,5
85000000,24.069,340487652,6.7,3955,This fairytale princess is about to meet a real Prince Charming.,2007,11,114291000,457819696,7
105000000,26.28,351040419,7.4,9011,Reserving judgments is a matter of infinite hope... I come to the admission that it has a limit.,2013,10,123931499,414333006,7
16000000,18.675,66468332,5.7,1234,They served you Breakfast. They gave you Pie. Now we’re gonna stuff your face.,2001,7,25190400,104647741,6
45000000,17.483,33904605,7.5,1132,The world will know his name and the truth.,2019,12,48564000,36589849,8
12500000,19.989,31039126,5.5,907,Let us prey,2018,7,13818750,34313753,6
25000000,15.172,59192128,5.9,1026,He has to break his curse before she breaks his heart.,2007,9,33615000,79589735,6
5000000,16.011,24000000,7.4,1535,Can you change your whole life in one day?,2002,12,7655499,36746400,7
20000000,17.692,8654322,6.9,809,"A Life of Love, Courage & Fellowship.",2019,3,21584000,9339744,7
62000000,15.71,127666415,6.4,720,Heroes are ordinary men who do extraordinary things in extraordinary times.,2000,4,100917400,207802623,6
78000000,24.208,179179718,5.2,3525,A Guardian Devil,2003,2,117553800,270041752,5
25000000,17.869,5775178,5.8,1203,Welcome to the neighborhood,2017,10,28225000,6520175,6
60000000,19.153,67312826,6.2,905,A generation's final journey... begins.,2002,12,91866000,103062667,6
55000000,18.357,74679822,6.6,3597,Love makes monsters of us all.,2015,10,63008000,85553204,7
7000000,16.385,2360281,6.4,693,Forgiveness is a bitter pill to swallow.,2014,7,8142400,2745478,6
30000000,16.439,57400547,6.0,391,Go the distance,1996,4,53379000,102132793,6
20000000,24.389,39143839,5.5,683,"What Was Once Trapped, Will Now Be Unleashed",2006,10,27764000,54339477,6
60000000,17.942,60052138,5.9,2266,Dark secrets will come to light.,2013,2,70818000,70879538,6
92000000,29.732,304654182,5.3,4958,Yippee Ki-Yay Mother Russia,2013,6,108587599,359583331,5
255000000,21.946,89289910,6.0,4507,Never Take Off the Mask,2013,3,300976500,105388880,6
6000200,18.941,7048886,6.0,654,Fear runs deeper,2009,10,7553651,8873842,6
26000000,15.701,51164106,6.2,1032,You're never quite ready for what life delivers.,2013,10,30687799,60388994,6
35000000,24.034,19165560,5.0,385,Mating season begins...,1998,10,59118500,32372547,5
150000000,19.633,245527149,5.9,5266,Every Family Has Its Demons,2012,8,180705000,295786556,6
53000000,21.629,126690726,7.3,3263,The System Must Pay.,2009,10,66721699,159490954,7
25000000,15.674,56505065,7.5,1201,Justice is coming.,1993,12,48315000,109201688,8
110000000,28.125,478207520,6.7,7211,Smart and sexy,2005,7,157872000,686323432,7
82000000,15.923,96085477,5.9,1270,Are You Who You Think You Are,2000,11,133471400,156398330,6
80000000,29.681,250200000,6.8,3889,Get ready to jam.,1996,11,142344000,445180860,7
42000000,19.081,363889678,7.2,3935,Can the most famous film star in the world fall for the man on the street?,1999,5,69858600,605257701,7
64000000,24.681,101595121,5.8,1007,Big things come in small packages,2006,8,88844800,141034346,6
85000000,24.923,160388063,6.7,3570,Believe it or not... He's the Good Guy.,2008,11,111120499,209675314,7
80000000,19.372,68514844,6.2,966,Real life has never been so animated.,2003,11,120568000,103258721,6
75000000,21.021,248118121,7.1,6520,Some things are only revealed by accident,2000,11,122077500,403861865,7
68000000,27.171,96976270,7.4,2254,Some Men Are Born To Be Heroes.,2001,3,107059200,152679439,7
25000000,15.184,12638526,6.8,1320,He made a bet. She made history.,2017,5,28225000,14268895,7
50000000,22.668,155446362,6.1,3537,429733,2009,3,62944999,195691425,6
49000000,20.116,72700000,6.0,996,Stealing the power of the universes one by one.,2001,2,77145600,114458880,6
7280000,18.135,6591038,7.4,789,The truth is all in your head.,2018,5,8048039,7286392,7
30000000,29.508,117932401,7.8,1762,We must live.,2013,7,35409000,139195612,8
5000000,21.916,142817992,5.4,1311,All the activity has led to this...,2012,10,6023500,172052834,5
4900000,19.871,148868835,6.3,2795,You were right to be afraid of the dark.,2016,7,5602170,170201739,6
65000000,23.812,217764291,7.2,3401,It started like any other night.,2004,4,95790500,320919235,7
44000000,21.664,63327201,6.3,3266,You will be one of us,2013,3,51933199,74745095,6
12000000,24.809,80573774,7.5,5072,Big cops. Small town. Moderate violence.,2007,2,16135200,108339496,8
38000000,20.009,105610124,6.9,2294,A comedy about taking it one step at a time.,2010,2,48001600,133406708,7
20000000,18.622,12639297,5.9,1517,The Code on the Street is Never Black & White,2016,2,22866000,14450508,6
30000000,18.932,61700416,6.2,648,Give life the old college try,2018,10,33164999,68209809,6
12000000,21.647,23006849,6.3,1078,A Fish-Out-Of-Water Comedy.,2006,3,16658400,31938107,6
25000000,19.097,119188334,5.5,664,A new generation of terror,2006,6,34705000,165457245,6
3000000,21.997,14980005,8.3,5137,"15 years of imprisonment, five days of vengeance",2003,11,4521300,22576365,8
17000000,22.646,125586134,5.9,1739,"If you're going to bury the truth, make sure it stays buried.",1997,10,29386200,217088191,6
150000000,19.046,314432665,5.8,2660,"When it comes to saving the world, it helps to be a little chicken.",2005,4,215280000,451273760,6
20000000,17.896,22165608,5.9,458,War is Fine But The Fight Continues,2006,10,27764000,30770297,6
62770198,25.561,64241499,7.9,3027,Welcome to the Isle of Dogs.,2018,3,69392453,71018977,8
130000000,18.898,61648500,5.7,2571,To protect and serve the living,2013,7,153439000,72763724,6
35000000,22.552,147934180,5.8,2361,Real spies...only smaller,2001,3,55104000,232907572,6
22000000,18.07,15447154,6.4,1376,Who do you trust?,2014,3,25590400,17968129,6
55000000,23.385,196567262,6.9,2139,It will take you a million light years from home. But will it bring you back?,1994,10,103235000,368956750,7
80000000,24.136,343397247,6.5,3093,Taking back the neighborhood... One snack at a time.,2006,5,111056000,476704058,6
35000000,24.583,131282949,7.0,3847,He just landed the gig of his life: 5th grade.,2003,3,52748500,197856532,7
20000000,17.833,177243185,6.8,1881,The South Pacific ain't that terrific.,2011,9,24855999,220277830,7
4000000,17.932,67760877,7.1,694,Neighbor. Icon. Friend.,2019,7,4316800,73127538,7
15000000,17.593,48854305,5.2,774,She Never Left,2014,12,17448000,56827327,5
70000000,19.221,123218424,7.8,5053,An adventure as big as life itself.,2003,12,105497000,185702486,8
80000000,14.119,37020277,6.0,1017,"A thousand feet beneath the sea, the blackest holes are in the mind...",1998,2,135128000,62530949,6
16000000,25.218,247275374,6.6,4253,"What the one doesn't have, the other is missing.",1994,12,30032000,464135876,7
80000000,24.317,245676146,7.0,3440,"In order to catch him, he must become him.",1997,6,138288000,424675785,7
4000000,22.075,65046687,7.4,5178,This is the story of a lifetime,2016,10,4573200,74367877,7
35000000,27.327,99255460,6.0,933,He's not lean. He's not mean. He's nacho average hero.,2006,6,48587000,137786429,6
42000000,14.875,35402320,6.0,545,This is not a love story – it's a story about love.,2001,8,66124800,55737412,6
35000000,16.827,84606030,6.2,1674,The most powerful man in the world,2011,9,43498000,105148374,6
15000000,29.137,49230772,7.3,3848,You'll know when you're in it.,2008,10,19609500,64359388,7
12000000,19.377,15008161,5.5,1342,Trained to kill. Left for dead. Back for more.,2013,12,14163599,17714132,6
3860000,16.375,64076736,6.4,489,"In Martial Arts there is no right or wrong, only the last man standing.",2013,10,4555958,75629771,6
10951000,17.679,47098491,7.2,882,Never be tempted.,2016,12,12520278,53847704,7
10500000,18.912,76347426,6.7,2089,"In the game of seduction, there is only one rule: Never fall in love.",1999,5,17464650,126988673,7
12000000,28.462,114194847,6.9,2852,Every Second Chance Begins With a First Step,2006,11,16658400,158525286,7
70000000,15.112,39041505,6.9,953,"Alexandria, Egypt. 391 A.D. The World Changed Forever.",2009,5,88123000,49149350,7
76000000,29.015,70595464,7.6,4789,The future's a thing of the past.,2006,9,105503200,98000623,8
107000000,13.36,87713825,6.8,1091,Float like a butterfly and sting like a bee.,2001,11,168460800,138096646,7
60000000,15.556,102367405,6.4,975,The cop who won't stop is back. But this time he's chasing down a lot more than a fugitive.,1998,6,101346000,172908783,6
45000000,15.555,11203026,6.1,371,Full scream ahead,1998,1,76009500,18923031,6
30000000,19.353,29413900,6.2,186,Rebel. Genius. Liberator.,2003,10,45213000,44329688,6
70000000,23.838,177427090,5.8,2794,Whoever wins... We lose,2004,12,103159000,261474302,6
19000000,23.251,18755936,6.3,807,He's leaving virgin territory,2008,10,24838700,24519635,6
20000000,21.751,65569869,6.5,823,Their city. Their rules. No prisoners.,2008,10,26145999,85719489,6
75000000,16.248,46683377,6.7,933,"For two sisters from a family of witches, falling in love is the trickiest spell of all.",1998,10,126682500,78852892,7
117000000,27.948,261930431,6.1,3068,Every Hit Man Deserves a Second Shot!,2010,6,147794400,330870520,6
45000000,17.945,124914842,5.5,987,Bigger. Bolder. Blonder.,2003,2,67819500,188259158,6
16000000,19.299,68263166,7.7,3938,A tormenting and surprising story of children and adults during the stormy days of the summer of 1965.,2012,5,19275200,82236636,8
18000000,24.893,261572744,6.7,3291,"Come to Kazakhstan, it's nice!",2006,1,24987600,363115283,7
15000000,17.29,30102717,5.9,582,Two brothers separated by the violence. Now together in a mission of revenge.,1991,7,31135500,62484209,6
30000000,20.09,156835339,7.2,2464,"His life ended. Now, a new one will begin.",2007,11,40338000,210880796,7
30000000,19.489,31070211,5.1,1000,The blood war is on.,2006,3,41646000,43131666,5
20000000,20.354,34764055,6.6,232,Hell Hath No Fury,2018,3,22110000,38431662,7
40000000,21.589,60965854,6.6,1740,Revenge is beautiful.,2011,7,49711999,75768363,7
52000000,20.284,98126565,7.4,1876,Every man fights his own war.,1998,5,87833200,165745580,7
11000000,18.084,3639345,5.3,453,Based on a true story.,2013,3,12983299,4295518,5
150000000,19.908,690860472,7.6,8756,The ocean is calling.,2016,11,171495000,789860777,8
28000000,21.033,97594140,7.2,1835,You know it when you find it,2013,7,33048399,115190363,7
30000000,20.085,49263404,6.2,736,Dream Large. Live Larger.,2015,3,34368000,56436155,6
45000000,22.23,160078586,6.2,2278,A little intelligence goes a long way,2011,9,55925999,198945666,6
80000000,21.276,123729176,6.1,1441,The greatest adventure THROUGH all time!,2002,4,122487999,189441741,6
75000000,25.926,335062621,7.1,2961,Alcatraz. Only one man has ever broken out. Now five million lives depend on two men breaking in.,1996,7,133447500,596176921,7
5000000,22.28,31724284,5.2,3017,A little sun can bring out your dark side.,2013,1,5901499,37444172,5
62000000,28.078,53321673,5.6,1463,The Perfect World Meets The Perfect Assassin,2005,11,88982400,76527265,6
60000000,25.727,176070171,6.7,3824,Get in. Get out. Get even.,2003,5,90426000,265355354,7
1100000,19.023,20112926,7.0,1079,No computer graphics. No stunt doubles. No wires.,2003,1,1657810,30312190,7
40000000,19.276,251171807,6.8,5452,Everyone Hustles To Survive,2013,12,47211999,296458083,7
12000000,21.941,27020284,6.1,922,Starting over is not for beginners.,2017,7,13548000,30505900,6
40000000,23.131,86234523,6.8,3057,An American dream,2016,8,45732000,98591930,7
35000000,15.321,11560806,4.9,178,Every soul has its price.,2003,5,52748500,17423290,5
65000000,26.427,235666219,6.8,4639,One of the guys. One of the Spies.,2015,6,74464000,269979220,7
45000000,21.319,302710615,6.6,3666,Trust me.,1997,3,77787000,523265569,7
149000000,23.275,178120010,6.2,2580,Someone's Going Down,2006,10,206841800,247266197,6
37000000,22.725,96455697,6.6,3562,"For some, 13 feels like it was just yesterday. For Jenna, it was.",2004,4,54526900,142146760,7
82500000,19.074,240685326,6.2,4967,What If You Had A Remote... That Controlled Your Universe?,2006,6,114526500,334119369,6
